LIED_ID,POSITION,DATUM_VON,DATUM_BIS
5821,16,2003-12-01,2003-12-07
5833,45,2003-12-01,2003-12-07
12380,23,2003-12-08,2003-12-14
5821,27,2003-12-08,2003-12-14
12380,23,2004-01-12,2004-01-18
5981,4,2004-01-26,2004-02-01
50727,35,2004-02-23,2004-02-29
6026,9,2004-03-15,2004-03-21
17247,17,2004-03-29,2004-04-04
24287,24,2004-03-29,2004-04-04
5994,46,2004-03-29,2004-04-04
6039,48,2004-03-29,2004-04-04
17247,11,2004-04-05,2004-04-11
14462,33,2004-04-05,2004-04-11
24287,33,2004-05-03,2004-05-09
5981,29,2004-05-10,2004-05-16
27673,13,2004-05-17,2004-05-23
23935,26,2004-05-24,2004-05-30
6126,9,2004-06-07,2004-06-13
27673,14,2004-06-14,2004-06-20
24906,43,2004-06-14,2004-06-20
6126,19,2004-06-21,2004-06-27
23709,25,2004-07-05,2004-07-11
39967,31,2004-08-02,2004-08-08
6343,37,2004-08-09,2004-08-15
39967,28,2004-08-16,2004-08-22
56921,36,2004-09-27,2004-10-03
50731,36,2004-10-04,2004-10-10
23704,10,2004-10-11,2004-10-17
23704,12,2004-10-18,2004-10-24
58448,47,2004-10-18,2004-10-24
6343,2,2004-10-25,2004-10-31
6343,3,2004-11-01,2004-11-07
66236,40,2004-11-29,2004-12-05
6513,25,2004-12-20,2004-12-26
6407,7,2004-12-27,2005-01-02
6424,11,2004-12-27,2005-01-02
6367,14,2005-01-10,2005-01-16
17247,30,2005-01-10,2005-01-16
6375,47,2005-02-07,2005-02-13
6343,49,2005-02-14,2005-02-20
86133,27,2005-02-28,2005-03-06
33542,39,2005-03-07,2005-03-13
6419,4,2005-03-21,2005-03-27
6513,32,2005-03-21,2005-03-27
6486,36,2005-03-21,2005-03-27
6508,25,2005-03-28,2005-04-03
93465,27,2005-04-04,2005-04-10
94747,28,2005-04-04,2005-04-10
6508,35,2005-04-11,2005-04-17
97245,18,2005-04-18,2005-04-24
6513,49,2005-04-25,2005-05-01
6419,26,2005-05-02,2005-05-08
114892,11,2005-05-16,2005-05-22
41314,24,2005-05-23,2005-05-29
91311,46,2005-05-23,2005-05-29
112423,31,2005-06-06,2005-06-12
6483,39,2005-06-13,2005-06-19
89849,42,2005-06-27,2005-07-03
104926,43,2005-06-27,2005-07-03
116606,11,2005-08-22,2005-08-28
102276,45,2005-08-22,2005-08-28
95907,28,2005-08-29,2005-09-04
100034,35,2005-08-29,2005-09-04
116606,19,2005-09-05,2005-09-11
130305,7,2005-09-12,2005-09-18
116606,33,2005-09-19,2005-09-25
99293,13,2005-09-26,2005-10-02
116606,41,2005-10-03,2005-10-09
133685,23,2005-10-24,2005-10-30
101061,42,2005-10-24,2005-10-30
133627,27,2005-11-11,2005-11-17
99293,11,2005-11-25,2005-12-01
151550,15,2005-11-25,2005-12-01
120550,26,2005-12-02,2005-12-08
161249,36,2005-12-02,2005-12-08
132899,5,2005-12-09,2005-12-15
160928,22,2005-12-09,2005-12-15
120550,34,2005-12-09,2005-12-15
150302,2,2005-12-23,2005-12-29
155433,43,2005-12-23,2005-12-29
151550,16,2006-01-13,2006-01-19
161244,22,2006-01-13,2006-01-19
159640,8,2006-01-20,2006-01-26
167398,3,2006-02-03,2006-02-09
150302,5,2006-02-03,2006-02-09
151550,28,2006-02-03,2006-02-09
160928,27,2006-02-10,2006-02-16
132899,23,2006-02-17,2006-02-23
164767,31,2006-02-17,2006-02-23
167219,20,2006-03-03,2006-03-09
145137,6,2006-03-10,2006-03-16
179491,12,2006-03-10,2006-03-16
164925,27,2006-03-24,2006-03-30
167219,42,2006-03-24,2006-03-30
188426,10,2006-04-14,2006-04-20
191984,29,2006-04-28,2006-05-04
188426,16,2006-05-05,2006-05-11
191984,40,2006-05-05,2006-05-11
173758,14,2006-05-12,2006-05-18
209123,27,2006-05-19,2006-05-25
201009,15,2006-05-26,2006-06-01
204185,4,2006-06-02,2006-06-08
186286,36,2006-06-09,2006-06-15
209597,15,2006-06-16,2006-06-22
186908,20,2006-06-16,2006-06-22
209597,19,2006-06-23,2006-06-29
204185,1,2006-06-30,2006-07-06
145137,36,2006-06-30,2006-07-06
186286,43,2006-06-30,2006-07-06
209597,20,2006-07-14,2006-07-20
223629,13,2006-07-28,2006-08-03
214018,45,2006-07-28,2006-08-03
204185,3,2006-08-04,2006-08-10
208072,16,2006-08-04,2006-08-10
203602,23,2006-08-04,2006-08-10
203333,42,2006-08-04,2006-08-10
221808,25,2006-08-18,2006-08-24
225094,1,2006-08-25,2006-08-31
201009,13,2006-09-01,2006-09-07
201009,27,2006-09-22,2006-09-28
231638,45,2006-09-22,2006-09-28
203602,41,2006-09-29,2006-10-05
223629,25,2006-10-06,2006-10-12
204185,44,2006-10-06,2006-10-12
191835,20,2006-10-13,2006-10-19
223629,34,2006-10-13,2006-10-19
231642,43,2006-10-13,2006-10-19
